NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,443.1079999999997
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,443.6940999999992
b38a03232f43b11c9d0788abaf060f7366053b6d,582.3844999999998
,488.0686000000015
715494628a50142ce8cb17191cfe6d0f3cae0934,475.2003999999998
e656d6bad65c93fb2880f1eba5037008c8e75774,520.4838000000002
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,449.78760000000074
11539e86171bf07d3a36f09377d7f54ebcc8406a,492.3652999999996
043c544a2104aa8a9849f1a703a08d37a2f16839,460.22920000000096
76ba050e64ad100b856f0eaabd8f539d5c7dd185,467.2960000000003
,585.4995000000013
,542.9185000000014
940aede382ccb332fab15d413217695ec44ca765,456.1995999999995
9ad714b116da76d878dd399d187fccc2dd13dd63,413.37800000000044
dd34464a4d780b12a089347ad580418ac57a3055,454.19420000000076
f837a4cb05a5fd59d20138182f5e8c721eadd584,467.32640000000094
,627.5858999999992
,455.01189999999997
,598.2275999999993
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,426.08669999999927
3d203727f27abd83b71732d88d8cb1cc099f363b,429.2361999999999
,435.374
,566.7157000000008
cbc301183dec912f3513ca766bf03dd565f3a38f,481.5853999999995
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,493.1071999999996
11282da1ee78c8db45a041db4c744e33df489df0,491.1459999999997
03c67f683a415c2ea09b582248bd4cb08528c19d,457.86069999999927
046e844fb06a07ba30b41521f0065a8d9c6e5024,429.06340000000023
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,468.2443999999999
,640.2084
,467.3692000000001
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,424.3928000000003
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,498.2396999999992
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,448.815000000001
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,416.07890000000026
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,485.6482000000022
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,495.7407999999995
59bfa081e020013410d9f60f91813964ba749bb2,437.4099999999985
f5e069ee3bc95998464e8ff5da048b7f999921ed,464.99360000000024
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,428.63499999999993
664f44258212a1f7e4086f2b4845d586c543fa3f,577.1049000000003
265cd7befa74a9f2a198fc57baec9858075f8419,452.8704999999995
6f9ac44919bbd204e0ef15185388fd2d4bc61253,489.5649999999993
78de1ee60b55766cc3eba4089e36c57139b66ebd,483.29190000000057
,449.4107000000004
1e61a474acdc043eb39a89c17fab34bd2ea1a940,440.08820000000003
940af68ded6af2875708611051aa7ff3f134d80b,437.0256000000003
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,435.63420000000036
c76ddf6e9f80984e901b12f9462a3cf029bea290,449.30240000000043
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,546.2637000000011
,555.7509000000003
,431.57799999999963
92823d467a2ced9529801e0e8a94802dd88f0c17,462.8535000000012
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,666.6112999999997
413cbb38b2e2522f8167ffb9daeac1347b281393,459.62320000000017
68985fad004092956a4b4ce94dd53dc76d07eaf7,560.568599999999
bdca9aeb19521675af15f2c28d86f6bebc45a834,482.9949000000002
b65b19d42b7a4b644fe9f99366dcb37b120862d9,421.77390000000076
eda898aa8ec465cbac70de72ead0c6d688e5f95a,486.8339999999999
,479.438199999999
8d5c4481d736f6ce27976e400f4245bf10757608,456.2054999999987
,451.29689999999954
,424.47910000000013
,434.9962000000009
,575.8648000000006
c4cea54435c0fd0e171eed4c215479bb3ca86113,470.6722000000001
7d5cd89c6112b9a202a025a24355135bc60848c6,425.81000000000046
b70ab62384aa80545928a311f5b5d3db2f4d87ee,480.43780000000044
c96431dd924f366d2229a7f1455388b8cd85be49,469.699799999999
,422.5683999999996
,517.6862000000001
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,437.83319999999964
e724482370ae6126008ade80b564ad8d8a0a7cbd,427.88940000000076
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,468.34239999999966
,509.5246000000001
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,455.5844999999989
7f898f8939ae054359f83ee154bb91bc7dd2c959,464.366600000001
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,469.95929999999925
82e3b12c6366008fabc238f299f117074e78de5d,473.8631
0d838be0e718ceb786cdb10fcc12559e00440240,428.06
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,363.47160000000036
,761.6475999999993
c83fe640ba466ba904ac1055e53a875289888797,431.8806000000003
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,491.70909999999907
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,542.5570000000001
328639a0c753715c30a58bae70c82f2101153eb3,492.40270000000083
,444.87579999999986
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,418.2749999999997
f56746cc2900258507d2b32c126f8db090db856f,575.0904000000008
1a4963b5fea8bb25c67750cdafbe84b01efad177,429.9278000000004
b520c940e62f4ed684417e7eacf00d85752060da,504.20759999999996
2e170cf2651ed448991af6fc5df15167733b2d8f,418.43150000000077
6efdd93a0ae289be6bb5a400bfc1deb077d75886,471.0120999999995
72ac2acc787d8cba0934cca3810ac091d792c8db,518.3942
92a25eee14554806f081869cc9dac868fd1860fb,424.82400000000075
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,442.70779999999985
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,414.18979999999993
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,574.2546999999996
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,534.2735
,444.75329999999997
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,520.3196999999986
,460.23400000000044
0467e022da4ef897f666bc76f31e1bc8976f7e92,434.02720000000016
993aca0d5eac6741117947c82a3647102096255e,458.896599999999
,488.52679999999964
36bb672077a46a3e4755cef90437a616d28bdf23,510.1230999999998
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,460.52200000000056
328ca19128d276eb4fbc309c54ec7f346c803d2f,485.336600000001
27cdb62f0a2a5467efeb30aafbf246ed2320c532,444.787
,471.06889999999896
f9ef2695eb0986666093945894b8f2fee351bf22,509.3487999999987
,441.8735999999999
,428.7172000000011
8a021391cdaac100dab56c59284bd50137a74129,466.27620000000013
,561.2543999999998
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,435.4575999999999
,479.14489999999984
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,430.1951999999995
,456.3631000000008
b9f786712775e0d1d735398d710b01f404c985a3,515.5889999999993
564958997e204bda06fbe90afc4722805c78a855,429.7207000000012
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,459.3964000000005
,414.4161999999997
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,444.4815999999993
8296743fdd105ce9183561cf5b359b0a3781465e,470.90389999999945
,483.37280000000027
6602c7f15a1fdd082265b64976448c6809df792d,442.2820000000005
31ae66f0fe024acae4490915c348e487f2367574,456.2025000000005
81901aa980653106e64863d957387d24e2c00af3,487.81999999999937
28e10d1bd0b6effe0edd503446ebda948ad240ad,515.1186000000006
53a7ee52a87f80241e2ca13c923e06b72bf3a059,419.0154000000003
,475.9232000000012
,494.28780000000023
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,540.4191999999987
,439.6000000000004
02681b5c893b94db204713cb4b20dde6fc3f2f95,486.99420000000043
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,605.6436999999993
,438.20009999999917
28c6829e69879bc1d34db1cd51b89562d3cc596b,445.22360000000083
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,486.5840000000001
,472.6917000000004
923538833160e8432636c88e8119378a43b3d766,417.79519999999906
aacb834258765a2959ee63c57d2be4923d11a696,549.6751999999992
c32e484025571dd94255a77f21de08ab8d2aaba8,465.7142999999993
d425deeec0a3c7006f14d732eff8933d5155067f,526.2664000000007
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,435.9604999999996
716a178e9a6f7791b820da77879943ac9040a547,568.567199999999
430212cd8767ef2bff8cda0f61729203fef7523e,431.62690000000026
e97d33221238e445688a0e984778d4ecac788be2,567.6571999999989
,449.60979999999984
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,458.357000000001
0411742cbb54fe1b6927b25f0bb52b885828c828,473.4168999999997
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,473.726399999999
,425.18660000000114
e4e7a38b58319ad0a5cde4848622b21783c907e9,512.4587999999994
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,478.8919999999999
aec1b63c3f0c9554e533752d8fe138ca82101d4a,433.4467000000006
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,505.5383999999996
4b48d500ba4410546ce01f7f6d44bcbafa73994f,461.6832000000011
edf33c347c866d26872f540bcc1f6ae415f3294c,503.77019999999976
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,530.9178000000007
3a265ea6ebdc4eb2520db912adf5592f03b3d634,433.1972000000004
,464.9092000000006
,515.6516000000001
e418fbb77e6ff4103205f3b7f6a66d53183d809b,464.2034
8ddbfe70cd41135cb6f125335a48d100789edbf7,478.0636
,464.6778000000005
1d3e406d0223d4cb0328850d689ba9fcadf62776,450.66219999999913
,413.452
